resolution,trial,step,context,pred_divergence,mean_surprise,inference_time_ms
10,0,0,0,362.01514,2.405322,261.7215000791475
10,0,3,2,729.18195,2.4007463,244.12090005353093
10,0,6,2,732.4047,2.413499,269.8838000651449
10,0,9,2,735.6231,2.4622154,272.49420003499836
10,0,12,2,736.1895,2.4797738,258.90339992474765
10,0,15,2,736.6585,2.5451164,275.242600007914
10,0,18,2,736.8379,2.5887635,267.3955000936985
10,0,21,2,736.8497,2.6179388,256.65759993717074
10,0,24,2,736.8365,2.5944915,296.7206999892369
10,0,27,2,736.92645,2.6836472,254.0642999811098
10,0,30,2,736.913,2.7898645,274.71070003230125
10,0,33,2,736.89087,2.7652798,299.05909998342395
10,0,36,2,736.89716,2.6526797,307.5105999596417
10,0,39,2,736.9417,2.689386,272.8468000423163
10,0,42,2,736.92474,2.7126343,288.514000014402
10,0,45,2,736.9363,2.667525,260.0751999998465
10,0,48,2,736.9194,2.7036834,257.67319998703897
10,0,51,2,736.95087,2.8450406,269.72129999194294
10,0,54,3,737.29315,2.9281564,256.292000063695
10,0,57,3,738.0873,2.9522533,248.17420006729662
10,0,60,3,739.4844,2.924073,262.48469995334744
10,0,63,3,737.9228,2.9310365,270.847599953413
10,0,66,3,739.74634,2.9231596,263.7063000584021
10,0,69,3,746.2321,2.8727787,260.4562999913469
