resolution,trial,step,context,pred_divergence,mean_surprise,inference_time_ms
2,0,0,0,362.00848,2.3719833,84.33999994304031
2,0,3,0,545.5671,2.4012287,90.08949995040894
2,0,6,0,361.97125,2.368712,85.56919998954982
2,0,9,1,547.7425,2.4019194,96.33239998947829
2,0,12,1,549.21497,2.4528675,115.41299999225885
2,0,15,1,549.4642,2.424084,88.16229994408786
2,0,18,1,549.47125,2.3984408,83.65779998712242
2,0,21,2,733.01636,2.4496276,99.62440002709627
2,0,24,2,733.01514,2.4906254,126.20930001139641
2,0,27,2,733.0128,2.449199,118.09120001271367
2,0,30,2,733.0132,2.4491909,136.26870000734925
2,0,33,2,735.2012,2.6301618,125.74839999433607
2,0,36,2,735.1972,2.5117388,91.6834999807179
2,0,39,2,735.1979,2.511665,83.6284999968484
2,0,42,2,736.2691,2.548642,93.58840005006641
2,0,45,2,736.72015,2.6310973,87.80460001435131
2,0,48,2,736.7164,2.7491615,89.28249997552484
2,0,51,2,736.7213,2.749043,88.49929994903505
2,0,54,2,736.9317,2.6792624,86.57839999068528
2,0,57,2,736.9195,2.682091,83.59629998449236
2,0,60,2,736.9313,2.6792667,137.43719994090497
2,0,63,3,737.08215,2.743235,82.63229997828603
2,0,66,3,737.2386,2.7573414,85.97260003443807
2,0,69,3,737.2575,2.938047,85.9692000085488
