resolution,trial,step,context,pred_divergence,mean_surprise,inference_time_ms
5,0,0,0,362.00974,2.405677,131.08960003592074
5,0,3,2,729.1798,2.4011877,247.98750004265457
5,0,6,2,732.406,2.410118,154.17990006972104
5,0,9,2,735.6255,2.466205,162.01119998004287
5,0,12,2,736.4639,2.4919727,170.73570005595684
5,0,15,2,736.76605,2.5363207,145.89749998413026
5,0,18,2,736.8692,2.6089857,164.83309993054718
5,0,21,2,736.9349,2.7101638,125.19339995924383
5,0,24,2,736.916,2.7444458,126.0001000482589
5,0,27,2,736.9342,2.731228,121.75399996340275
5,0,30,2,736.9179,2.687557,147.1035999711603
5,0,33,2,736.9206,2.707587,124.75470011122525
5,0,36,2,736.9397,2.869081,134.33939998503774
5,0,39,3,737.30066,2.9707432,178.17790003027767
5,0,42,3,738.53076,3.0949209,126.61579996347427
5,0,45,3,748.09753,3.4578607,151.18819999042898
5,0,48,3,751.097,3.0702317,164.3408000236377
5,0,51,3,753.27045,3.6687992,231.64990008808672
5,0,54,3,763.05804,3.2074893,124.54570003319532
5,0,57,3,763.05804,3.2074893,177.06700006965548
5,0,60,3,763.05804,3.2074893,152.88079995661974
5,0,63,3,763.05804,3.2074893,123.716100002639
5,0,66,3,763.05804,3.2074893,168.71150000952184
