resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
20,0,0,"(437.5, 412.5, 3.7158125367455015)",0.6440840245543138,736.302001953125,-0.2278303733243819,2.4370797337069843,2261.267500000031
20,0,3,"(387.5, 412.5, 5.968521653217249)",0.4932592778125962,740.2713623046875,-0.2064652138038174,1.804443540813776,2264.869599999656
20,0,6,"(337.5, 412.5, 9.377700043801939)",0.6996320459067624,745.386474609375,-0.215703346684242,1.4417656725099324,2253.6322999985714
20,0,9,"(312.5, 437.5, 13.134116007120344)",0.7398115370838754,754.5903930664062,-0.2100801734137162,0.8631274050210425,2261.5033999991283
20,0,12,"(287.5, 462.5, 17.977012825427398)",0.5843151319400404,787.6173095703125,-0.1951378450814967,0.5146635779382106,2246.749300000374
20,1,0,"(437.5, 412.5, 3.7158125367455015)",0.637415560806792,736.1396484375,-0.227830373324382,2.4370797147836063,2248.46129999969
20,1,3,"(387.5, 412.5, 5.968521653217249)",0.4953797488578483,740.0507202148438,-0.2064652138038173,1.804443529107712,2245.107400000052
20,1,6,"(337.5, 412.5, 9.377700043801939)",0.7013981667498783,745.7183837890625,-0.2157033466842419,1.4417656844403046,2240.4324999988603
20,1,9,"(312.5, 437.5, 13.134116007120344)",0.7451978514212955,754.89697265625,-0.2100801734137163,0.8631273616618087,2234.0972000001784
20,1,12,"(287.5, 462.5, 17.977012825427398)",0.5694959070214316,786.849609375,-0.1951378450814967,0.514663646068888,2248.0299999988347
20,2,0,"(437.5, 412.5, 3.7158125367455015)",0.6430817805686802,736.2448120117188,-0.2278303733243819,2.4370797766135395,2268.0311999993137
20,2,3,"(387.5, 412.5, 5.968521653217249)",0.4970353189955218,740.2870483398438,-0.2064652138038173,1.8044435327300303,2269.568699999581
20,2,6,"(337.5, 412.5, 9.377700043801939)",0.6985558957696237,745.537109375,-0.2157033466842419,1.4417656926975873,2255.4670000008628
20,2,9,"(312.5, 437.5, 13.134116007120344)",0.7428261231601415,754.3401489257812,-0.2100801734137162,0.8631273620475738,2271.292699999321
20,2,12,"(287.5, 462.5, 17.977012825427398)",0.5808947211825708,786.569091796875,-0.1951378450814967,0.5146635497727247,2290.9499000015785
20,3,0,"(437.5, 412.5, 3.7158125367455015)",0.6432488514764836,736.0916137695312,-0.2278303733243819,2.437079745911352,2239.2438000006223
20,3,3,"(387.5, 412.5, 5.968521653217249)",0.4986230922064077,740.154296875,-0.2064652138038173,1.8044435488770911,2257.1518999993714
20,3,6,"(337.5, 412.5, 9.377700043801939)",0.7063987125222573,745.417236328125,-0.2157033466842419,1.441765635728271,2282.566100000622
20,3,9,"(312.5, 437.5, 13.134116007120344)",0.7481778588566815,754.744873046875,-0.2100801734137163,0.863127314878094,2207.49479999904
20,3,12,"(287.5, 462.5, 17.977012825427398)",0.5818019034498783,786.9798583984375,-0.1951378450814967,0.5146635587968328,2216.174899998805
20,4,0,"(437.5, 412.5, 3.7158125367455015)",0.6397388228967116,736.240966796875,-0.227830373324382,2.4370797624883336,2268.4458999992785
20,4,3,"(387.5, 412.5, 5.968521653217249)",0.4960473335618477,740.2889404296875,-0.2064652138038173,1.804443551446333,2237.9079000002093
20,4,6,"(337.5, 412.5, 9.377700043801939)",0.7097623851611053,745.40771484375,-0.2157033466842419,1.441765652309017,2279.922900001111
20,4,9,"(312.5, 437.5, 13.134116007120344)",0.7484320700618413,754.9129028320312,-0.2100801734137162,0.8631273800711069,2271.266399999149
20,4,12,"(287.5, 462.5, 17.977012825427398)",0.5811308900739929,787.0302124023438,-0.1951378450814967,0.5146635441852274,2262.8359999998797
20,5,0,"(437.5, 412.5, 3.7158125367455015)",0.6466495140680629,736.1682739257812,-0.227830373324382,2.437079764152728,2253.5470000002533
20,5,3,"(387.5, 412.5, 5.968521653217249)",0.4954345151716894,740.0537719726562,-0.2064652138038173,1.8044435185090628,2240.0346000013087
20,5,6,"(337.5, 412.5, 9.377700043801939)",0.7077646188456346,745.648681640625,-0.215703346684242,1.4417656566639905,2248.5771000010573
20,5,9,"(312.5, 437.5, 13.134116007120344)",0.7440382402816789,754.7046508789062,-0.2100801734137162,0.8631274058570717,2246.1112000000867
20,5,12,"(287.5, 462.5, 17.977012825427398)",0.5889256651117265,786.8284301757812,-0.1951378450814967,0.514663496599716,2253.968900000473
20,6,0,"(437.5, 412.5, 3.7158125367455015)",0.6414768993608655,736.161376953125,-0.2278303733243819,2.4370797744884745,2250.3762999986066
20,6,3,"(437.5, 362.5, 3.0693002026442198)",0.3698490366720445,736.4910278320312,-0.2018806224662323,2.250766569638256,2239.6042000000307
20,6,6,"(437.5, 312.5, 2.3288409680820936)",0.3149340225093829,736.04736328125,-0.200482945046576,2.4344456747688965,2245.474600000307
20,6,9,"(437.5, 262.5, 1.6629239389874948)",0.2597508746762531,735.6299438476562,-0.2005619501559511,2.574426717372889,2256.4297999997507
20,6,12,"(387.5, 262.5, 2.2927863351327353)",0.3042035228809102,737.1979370117188,-0.2005179311470351,2.5288783566226662,2239.759399999457
20,6,15,"(387.5, 212.5, 1.5068207512166414)",0.2069130479834719,736.9224853515625,-0.197632958378917,2.5531755475712448,2264.7830999994767
20,6,18,"(362.5, 237.5, 2.1176379791076854)",0.2725337488816241,737.2245483398438,-0.2013840349784007,2.530798227215436,2265.3709999995044
20,6,21,"(362.5, 287.5, 3.2481324511568093)",0.4050736188956476,737.6843872070312,-0.207768232853387,2.39452624430094,2268.454400000337
20,6,24,"(362.5, 337.5, 4.801447242030367)",0.5199521583779352,739.0570068359375,-0.2071855710068054,2.003269396631347,2257.4139000007563
20,6,27,"(362.5, 387.5, 6.644563227708976)",0.6042041951301681,740.9069213867188,-0.2031264264019896,1.604679713937074,2262.0372000001225
20,6,30,"(312.5, 387.5, 9.73254467824523)",0.7502663500609444,747.7625122070312,-0.2058511694228367,1.449274999503707,2270.312399999966
20,6,33,"(337.5, 412.5, 9.377700043801939)",0.6894809774137528,746.3258056640625,-0.2172580699868237,1.2830456723965815,2257.815599999958
20,6,36,"(312.5, 437.5, 13.134116007120344)",0.6896037149551791,760.0514526367188,-0.2109413257163409,0.9303649185660736,2208.4451999999146
20,6,39,"(287.5, 412.5, 13.851283065501828)",0.689073134870943,760.6837768554688,-0.2063363200052794,0.7923936389078476,2219.3809999989758
20,6,42,"(262.5, 387.5, 12.530028997518446)",0.7518012867906911,757.062255859375,-0.2103987197900718,0.9477867400038312,2241.879899998821
20,6,45,"(237.5, 412.5, 16.71281874556001)",0.752715590709714,773.5724487304688,-0.1990484906148607,0.7341834227860103,2237.394100000529
20,6,48,"(212.5, 437.5, 19.809611758762614)",0.8544570510303204,805.8804321289062,-0.2690777598246205,0.6144612256911057,2267.536299999847
20,7,0,"(437.5, 412.5, 3.7158125367455015)",0.6409999746446717,736.3342895507812,-0.2278303733243819,2.43707974150026,2225.674200000867
20,7,3,"(387.5, 412.5, 5.968521653217249)",0.4937572951836418,739.9923706054688,-0.2064652138038173,1.8044435116364776,2222.7530000000115
20,7,6,"(337.5, 412.5, 9.377700043801939)",0.7053735916100774,745.6412353515625,-0.2157033466842419,1.4417656451109195,2255.1889999995183
20,7,9,"(312.5, 437.5, 13.134116007120344)",0.7442522094216315,754.8400268554688,-0.2100801734137163,0.8631273830217429,2251.474499998949
20,7,12,"(287.5, 462.5, 17.977012825427398)",0.5806282346054646,786.6828002929688,-0.1951378450814967,0.5146635507797984,2259.8398000009183
20,8,0,"(437.5, 412.5, 3.7158125367455015)",0.6449588725019288,736.2403564453125,-0.2278303733243819,2.437079727472288,2319.032800000059
20,8,3,"(437.5, 362.5, 3.0693002026442198)",0.3744293848606222,736.4656372070312,-0.2018806224662323,2.250766571543464,2259.9726999997074
20,8,6,"(412.5, 337.5, 3.3073470145874904)",0.3715215820962801,737.4525146484375,-0.2014842467376978,2.2862867905464377,2234.5402000009926
20,8,9,"(362.5, 337.5, 4.801447242030367)",0.4618850120068763,738.9422607421875,-0.2027324836410396,2.080714019382476,2216.421499999342
20,8,12,"(312.5, 337.5, 6.4720487778634865)",0.5811690246388391,740.379150390625,-0.2005472372706443,1.9540071224939983,2202.443199999834
20,8,15,"(262.5, 337.5, 7.706480720276972)",0.7482588395673939,741.31689453125,-0.2113054405699704,1.8631456444446253,2192.482899999959
20,8,18,"(237.5, 312.5, 6.148385304590252)",0.5929199954887034,739.4873046875,-0.2045690951137475,2.037422124296953,2214.9435999999696
20,8,21,"(237.5, 362.5, 10.136936791802604)",0.71317486359943,749.8593139648438,-0.2005578494835732,1.409152946829607,2254.464100000405
20,8,24,"(187.5, 362.5, 9.103110310900643)",0.7943336103880814,743.6254272460938,-0.2108328743202142,1.539945587740423,2234.572200000912
20,8,27,"(162.5, 387.5, 9.797797492156253)",0.7736101684538806,746.704345703125,-0.2088349600208248,1.374146263357932,2254.2850999998336
20,8,30,"(137.5, 412.5, 9.458994007438445)",0.6916503248264215,746.4800415039062,-0.2156158754676069,1.253202952918519,2276.532199999565
20,8,33,"(162.5, 437.5, 13.254586740016286)",0.6561953001358674,761.5076904296875,-0.2061861636289821,0.9055199975415702,2280.6679000004806
20,8,36,"(187.5, 462.5, 18.15511649450833)",0.5348915530123092,789.2279052734375,-0.1924937176403237,0.4561639786554516,2254.568800000925
20,9,0,"(437.5, 412.5, 3.7158125367455015)",0.6468143854007217,736.0916137695312,-0.2278303733243819,2.4370797184484867,2241.0302000007505
20,9,3,"(412.5, 387.5, 4.295992126710907)",0.4199395835459777,738.1555786132812,-0.2031892572246601,2.066874223003229,2192.9159999999683
20,9,6,"(362.5, 387.5, 6.644563227708976)",0.5172571006645815,741.8138427734375,-0.2013301872003182,1.7293314976905076,2209.2969000004814
20,9,9,"(312.5, 387.5, 9.73254467824523)",0.7484946347679171,747.7037963867188,-0.2059389833880807,1.449862471458398,2225.855000000593
20,9,12,"(312.5, 437.5, 13.134116007120344)",0.9080915088825624,754.0458984375,-0.2094664954730165,0.9657260140968282,2262.836799998695
20,9,15,"(287.5, 462.5, 17.977012825427398)",0.5851541540561451,785.3997192382812,-0.1951047348637658,0.5148838078842294,2256.011299999954
20,0,0,"(37.5, 437.5, 3.968016468858607)",0.6528055299744053,733.29052734375,-0.2269886075132103,2.3381423726949264,2233.0490999993344
20,0,3,"(37.5, 387.5, 3.4504418791542615)",0.3823409892069057,734.5396118164062,-0.2017985128367262,2.113524326331001,2219.2739000001893
20,0,6,"(87.5, 387.5, 5.413067831237064)",0.4535269454804071,739.4454956054688,-0.2037056030170259,1.8733986368506064,2224.54480000124
20,0,9,"(137.5, 387.5, 8.184609533832969)",0.5834470473348874,744.9624633789062,-0.1992524140416779,1.5524046786821968,2223.832400000901
20,0,12,"(162.5, 362.5, 8.044975170611863)",0.7057681881965329,742.43310546875,-0.2016127918873664,1.760164424342081,2215.732900000148
