resolution,trial,step,max_risk,max_ambiguity,inference_time_ms
5,0,0,-52.152930839446306,0.10652487147272005,193.8916000071913
5,0,1,-59.70754157605554,0.01656820856488528,78.29540001694113
5,0,3,-59.52932530749064,0.036767400448654675,199.58909999695607
5,0,4,-58.14638301185107,0.010417451844792591,96.63980000186712
5,0,6,-58.7689747169246,0.00834791470815377,248.5978999757208
5,0,7,-58.67988343176967,0.007371171533335996,86.88749998691492
5,0,9,-58.804673267750694,0.007222242800642098,250.9176000021398
5,0,10,-58.932249653678895,0.006948692911895815,84.5827000157442
5,0,12,-58.839278418985884,0.007840058141214135,229.37980000278912
5,0,13,-58.97561468229739,0.006940216065750793,81.81830000830814
5,0,15,-58.70675453673532,0.01054881869840818,141.5592999837827
5,0,16,-58.969405870353754,0.007709964186662699,82.89640001021326
5,0,18,-58.71921976516556,0.009208131516973639,125.77579999924637
5,0,19,-58.802836113019,0.008191128771180889,80.96150000346825
5,0,21,-58.824988915004354,0.011075169187453326,129.0543999930378
5,0,22,-58.90420263719474,0.00880128834349403,82.30579999508336
5,0,24,-58.788719036058545,0.008905636002592754,123.6839999910444
5,0,25,-58.90174657940281,0.007452908975673633,81.94400000502355
5,0,27,-58.78548238282622,0.008833587213884053,127.12690001353621
5,0,28,-58.91034988846094,0.00826172927693447,81.20580000104383
5,1,0,-45.92244596290731,3.5273118342042036,59.21250002575107
5,1,1,-46.89554735999248,3.4020549943891494,32.65730000566691
5,1,3,-51.0840606427318,0.009830825524700382,124.37149998731911
5,1,4,-59.48196299812633,-3.552713678800501e-15,75.37659999798052
5,1,6,-51.09743330836729,-3.552713678800501e-15,107.5849000189919
5,1,7,-59.486547608590314,-3.552713678800501e-15,50.403600005665794
5,1,9,-51.0972963587864,-3.552713678800501e-15,141.23770000878721
5,1,10,-59.551442152911875,-3.552713678800501e-15,69.82000000425614
5,1,12,-51.0972963587864,-3.552713678800501e-15,107.49039999791421
5,1,13,-59.48196299812633,-3.552713678800501e-15,56.90429999958724
5,1,15,-51.09709796786966,-3.552713678800501e-15,128.06479999562725
5,1,16,-59.494361840255394,-2.6645352591003757e-15,53.70190000394359
5,1,18,-51.0972963587864,-3.552713678800501e-15,144.44400000502355
5,1,19,-59.55396861860373,-3.552713678800501e-15,68.88510001590475
5,1,21,-51.0972963587864,-3.552713678800501e-15,106.79210000671446
5,1,22,-59.48196299812633,-3.552713678800501e-15,57.455699978163466
5,1,24,-51.0972963587864,-3.552713678800501e-15,127.7055999962613
5,1,25,-59.49649152411378,0.0034501142996821166,55.17819998203777
5,1,27,-51.0972963587864,-3.552713678800501e-15,141.6517999896314
5,1,28,-59.547652454374074,-3.552713678800501e-15,71.73830000101589
5,2,0,-46.0332584807127,3.52729384602051,60.470900003565475
