simulation,resolution,trial,step,max_risk,max_ambiguity,inference_time_ms,VFE,VFE_norm,state_entropy,action
0,5,0,0,-56.96968716452879,0.49911680083780574,121.49500020314008,-7.326913725524481,-1.4154125450007349,8.471969621969837,"(2, 0)"
0,5,0,1,-52.76984784978106,0.31784192627341357,94.17980001308024,-46.35461780566058,-2.1625528284756665,4.01971985041509,"(2, 0)"
0,5,0,3,-53.206218085061415,0.20778798322357428,51.26500001642853,-3.1526586669815577,-0.7215238678310264,4.973663284265097,"(1, 0)"
0,5,0,4,-50.037555357304,0.3759382945089542,100.44580040266737,-46.5267842531739,-9.311344366433405,4.773649043837538,"(0, 1)"
0,5,0,6,-51.0972963587864,-3.552713678800501e-15,50.30770058510825,-32.71217398564315,-6.578457337355355,1.9974958324468033,"(2, 0)"
0,5,0,7,-45.62606345978341,-3.552713678800501e-15,58.1602004240267,-75.62265912707414,-11.332275804429845,1.2038465924952844,"(1, 0)"
0,5,0,9,-51.0972963587864,-3.552713678800501e-15,50.483100523706526,-33.009043743342794,-6.637817735127609,0.27963815879055287,"(1, 0)"
0,5,0,10,-59.503220642730014,0.012971545835650744,53.30569972284138,-103.54275938260803,-17.40040606942063,0.10135400196944287,"(2, 0)"
0,5,0,12,-51.0972963587864,-3.552713678800501e-15,59.35479968320578,-32.91463452080359,-6.618916611075935,0.8644712824530775,"(1, 0)"
0,5,0,13,-59.53438850949176,-3.552713678800501e-15,55.38589833304286,-102.25800714670957,-17.400065483976938,0.2322039060469664,"(2, 0)"
0,5,0,15,-51.0972963587864,-3.552713678800501e-15,59.3373998417519,-32.860934481830405,-6.608171114997292,1.1926197523077127,"(1, 0)"
0,5,0,16,-59.55460023502671,-3.552713678800501e-15,64.28770010825247,-102.29590817940004,-17.40125841950293,0.32846279545936696,"(2, 0)"
0,5,0,18,-51.0972963587864,-3.552713678800501e-15,58.30929987132549,-32.84433809446094,-6.604853393644537,1.2908168467761625,"(1, 0)"
0,5,0,19,-59.5583899335645,-3.552713678800501e-15,65.35719957901165,-102.29317208446551,-17.402059271467675,0.36056090051860307,"(2, 0)"
0,5,0,21,-51.09398742977275,-3.552713678800501e-15,58.92239906825125,-32.83998037514354,-6.603982484203623,1.3162857629465916,"(1, 0)"
0,5,0,22,-59.55562863328316,-3.552713678800501e-15,64.17460064403713,-102.27658350985934,-17.40231346076741,0.36928929995760845,"(2, 0)"
0,5,0,24,-51.0972963587864,-3.552713678800501e-15,58.577799587510526,-32.838860262328105,-6.603758639172667,1.3228102578077918,"(1, 0)"
0,5,0,25,-59.56257641393579,-3.552713678800501e-15,64.22269932227209,-102.26739714134379,-17.40238201797436,0.37161819373417715,"(2, 0)"
0,5,0,27,-51.0972963587864,-3.552713678800501e-15,58.90290025854483,-32.83855503266912,-6.603697642620197,1.3245866470350665,"(1, 0)"
0,5,0,28,-59.556495084295605,-3.552713678800501e-15,63.689400092698634,-102.26121390746056,-17.402400933566952,0.37233014182200996,"(2, 0)"
0,5,0,30,-51.0972963587864,-3.552713678800501e-15,59.20030188281089,-32.83850117933414,-6.603686880719583,1.3248999419477783,"(1, 0)"
0,5,0,31,-59.550810536488896,0.0034501142996830048,63.596100837457925,-102.25951813042478,-17.40240428187914,0.37246718338525464,"(2, 0)"
0,5,0,33,-51.0972963587864,-3.552713678800501e-15,56.40459986170754,-32.838421939910816,-6.60367104572028,1.3253610937263276,"(1, 0)"
0,5,0,34,-59.562179632102314,-3.552713678800501e-15,66.04469969170168,-102.2562966425234,-17.402409212870406,0.3726794425070873,"(2, 0)"
0,5,0,36,-51.0972963587864,-3.552713678800501e-15,58.28409950481728,-32.838402152981025,-6.603667091556549,1.3254762400990452,"(1, 0)"
0,5,0,37,-59.55333700218077,-3.552713678800501e-15,63.45339887775481,-102.25535318352193,-17.402410445327245,0.372734672952731,"(2, 0)"
0,5,0,39,-51.0972963587864,-3.552713678800501e-15,57.4678007978946,-32.83842818139032,-6.603672293003307,1.3253247535322663,"(1, 0)"
0,10,0,0,-69.94657560742682,0.7035560116440713,138.32089939387515,-5.055063372259471,-0.5039889341068959,12.939169385145092,"(2, 0)"
0,10,0,1,-70.92613105121885,0.3995490461794744,108.71909937122837,-20.315979171049285,-0.8323900166999061,9.670270588620532,"(2, 0)"
0,10,0,3,-68.72223530380533,0.45884847417124486,158.9912988129072,-1.9255848481970403,-0.1924831059324067,8.3014948867989,"(2, 0)"
0,10,0,4,-68.45585930216129,0.33372331347737605,143.24120024684817,-20.8185385578423,-0.4947988151101913,5.985267651674023,"(0, 1)"
0,10,0,6,-49.31969307683418,0.4223636251923042,160.0052993162535,-2.2807451068495266,-0.2266530600199232,5.444825065720809,"(2, 0)"
0,10,0,7,-42.976824351203774,0.11832976659594374,151.44580003106967,-21.744142795316876,-0.6764895058707335,3.0334683945706047,"(1, 0)"
0,10,0,9,-46.803448556323566,0.2731544635495171,133.69180035078898,-1.7268116641040192,-0.17121526535080323,4.144591279506441,"(1, 0)"
0,10,0,10,-40.709184151242184,0.3297177969261247,188.9497006777674,-25.57270446792822,-4.261315934874344,3.8435249409980368,"(2, 0)"
