resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
2,0,0,"(437.5, 412.5, 3.7158125367455015)",0.044748433055728655,734.9554443359375,-1.2801502106436158,1.6770997832559627,86.63669999805279
2,0,1,"(437.5, 387.5, 3.41874755045311)",0.043999768363288144,0.0,-2.0080042124907984,0.7205053053745635,132.36569999935455
2,0,2,"(437.5, 362.5, 3.0693002026442198)",0.0052210651338149,0.0,-2.4516368275359692,0.2722024126288652,123.97870000131661
2,0,3,"(437.5, 362.5, 3.0693002026442198)",0.08034821002900637,736.9508056640625,-0.4603598008232607,0.5395528401098548,86.63930000329856
2,0,4,"(437.5, 337.5, 2.697731893066704)",0.21270021670424594,0.0,-0.942060874766151,0.44877681512706796,139.36050000120304
2,0,5,"(437.5, 312.5, 2.3288409680820936)",0.16709671417869085,0.0,-1.8004301594054872,0.7475874647399555,149.24629999950412
2,0,6,"(437.5, 312.5, 2.3288409680820936)",0.6418184698180052,736.2557373046875,-0.7056900217487893,1.7754389528169663,85.17370000117808
2,0,7,"(437.5, 287.5, 1.9802988879790537)",0.013171825774543348,0.0,-1.190073594597906,1.0313382120999637,149.3164000021352
2,0,8,"(437.5, 312.5, 2.3288409680820936)",0.0025550660987721423,0.0,-1.8375545462170104,0.8058928838079096,121.37710000024526
2,0,9,"(437.5, 312.5, 2.3288409680820936)",0.08328428262704178,735.4624633789062,-0.6435412505335107,1.1841143675336148,86.25040000333684
2,0,10,"(437.5, 287.5, 1.9802988879790537)",0.01133812566591675,0.0,-1.1998186061320668,1.114518414401571,138.05839999986347
2,0,11,"(437.5, 312.5, 2.3288409680820936)",0.0029132502774411356,0.0,-1.840338285698543,0.8285868276495612,126.65350000315811
2,0,12,"(437.5, 312.5, 2.3288409680820936)",0.08497967741534967,735.4832153320312,-0.6439082890772211,1.1857932380680605,86.61539999957313
2,0,13,"(412.5, 312.5, 2.8190600723806885)",0.3668406085876498,0.0,-1.3484400032702848,1.080804707274623,139.87120000092546
2,0,14,"(412.5, 287.5, 2.3680192003946603)",0.005690470958717881,0.0,-1.8854416251214312,0.4643860915737125,125.53499999921769
2,0,15,"(412.5, 287.5, 2.3680192003946603)",0.029651201629813675,736.6926879882812,-0.5632973857516136,1.0448256359726307,88.91270000094664
2,0,16,"(412.5, 312.5, 2.8190600723806885)",0.07200029072796638,0.0,-1.2678245353418234,0.8302839410288934,136.49910000094678
2,0,17,"(412.5, 312.5, 2.8190600723806885)",0.019474718719615335,0.0,-1.9438045845639582,0.3841678338201877,123.47800000134157
2,0,18,"(412.5, 312.5, 2.8190600723806885)",0.2350513435101304,737.0420532226562,-0.6921599825751303,1.1023463640653632,88.10230000017327
2,0,19,"(412.5, 287.5, 2.3680192003946603)",0.03129533477322015,0.0,-1.2638110314825834,0.7903148853997229,137.87949999823468
2,0,20,"(387.5, 287.5, 2.795360823982221)",0.004054243676362209,0.0,-1.8354871395618673,0.5312810316389267,122.93309999949997
2,0,21,"(387.5, 287.5, 2.795360823982221)",0.03934005181626192,737.444580078125,-0.5751993237974511,0.9807436086345496,90.84729999813135
2,0,22,"(387.5, 312.5, 3.371997408476144)",0.10867520005187283,0.0,-1.3124934930756325,0.5755248205535743,138.43189999897731
2,0,23,"(387.5, 287.5, 2.795360823982221)",0.0015320930009093947,0.0,-1.865780913734652,0.21024427238589596,122.31669999891892
2,0,24,"(387.5, 287.5, 2.795360823982221)",0.04422022804404675,737.4976196289062,-0.5662941564847928,0.796007514884063,86.2383999992744
2,0,25,"(387.5, 312.5, 3.371997408476144)",0.12863309654786867,0.0,-1.3093763234554492,0.5608434409352959,139.48939999681897
2,0,26,"(387.5, 287.5, 2.795360823982221)",0.005782301848102798,0.0,-1.8653740672220467,0.20567025832047112,121.83699999877717
2,0,27,"(387.5, 287.5, 2.795360823982221)",0.043953799623207356,737.4825439453125,-0.5661960873576448,0.7934943855175824,87.58939999825088
2,0,28,"(387.5, 312.5, 3.371997408476144)",0.12190813263968123,0.0,-1.3093298698624447,0.5606683805138093,139.0785000003234
2,0,29,"(387.5, 287.5, 2.795360823982221)",0.0012643490141885341,0.0,-1.86536763098392,0.2055971182309256,120.72799999805284
2,0,30,"(387.5, 287.5, 2.795360823982221)",0.042320231545156545,737.5054931640625,-0.5661944993234888,0.7934537979217186,87.5971000023128
2,0,31,"(387.5, 312.5, 3.371997408476144)",0.13075398097025506,0.0,-1.3093291053707437,0.5606654790674608,138.9391999982763
2,0,32,"(387.5, 287.5, 2.795360823982221)",0.0020528786505221706,0.0,-1.8653675229156799,0.2055958658779839,128.80569999833824
2,0,33,"(387.5, 287.5, 2.795360823982221)",0.04090132662826719,737.5090942382812,-0.5661944817698861,0.7934530843218813,89.81909999783966
2,0,34,"(387.5, 312.5, 3.371997408476144)",0.11904861093536082,0.0,-1.3093291096784485,0.5606655316672032,144.61859999937587
2,0,35,"(412.5, 312.5, 2.8190600723806885)",0.02988860259450568,0.0,-1.9910467711284088,0.2515849884724009,122.55060000097728
2,0,36,"(412.5, 312.5, 2.8190600723806885)",0.3330092370320818,737.2305908203125,-0.6917036819236531,1.1639447445402262,85.53000000028987
2,0,37,"(412.5, 287.5, 2.3680192003946603)",0.031846271212929274,0.0,-1.260130097836568,0.7557435378192999,141.79309999963152
2,0,38,"(387.5, 287.5, 2.795360823982221)",0.002737775755430734,0.0,-1.834501267498818,0.5232925011399943,122.14200000016717
2,0,39,"(387.5, 287.5, 2.795360823982221)",0.03722140344172141,737.4602661132812,-0.5750546498020015,0.9781969964751104,89.46120000109659
2,0,40,"(387.5, 312.5, 3.371997408476144)",0.11185603901754007,0.0,-1.3124539106651878,0.5751733827864202,135.52049999998417
2,0,41,"(387.5, 312.5, 3.371997408476144)",0.0500910431146783,0.0,-2.030334436657496,0.303551132146589,123.19100000240724
2,0,42,"(387.5, 312.5, 3.371997408476144)",0.5473011963537587,738.436279296875,-0.7249969304222168,1.4577455891386433,85.34879999933764
2,0,43,"(387.5, 287.5, 2.795360823982221)",0.07094114944791838,0.0,-1.3050129628716447,0.5270229538643684,145.5212999971991
