resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
5,0,0,"(437.5, 412.5, 3.7158125367455015)",0.7099893145876149,737.2427978515625,-0.2927820735631412,2.0232623921557256,119.84379999921656
5,0,3,"(387.5, 412.5, 5.968521653217249)",0.4597117878160046,742.28662109375,-0.2451912467601162,1.1963838484436573,119.44719999883092
5,0,6,"(337.5, 412.5, 9.377700043801939)",0.1441623613302997,766.2852172851562,-0.2724943076079763,0.1854782571628498,121.1896999993769
5,0,9,"(362.5, 437.5, 8.184609533832969)",0.4743438178869185,745.4378051757812,-0.2871211862308368,0.6257160706675725,122.2492000015336
5,0,12,"(337.5, 462.5, 10.942007264844266)",0.7333321968265972,755.3578491210938,-0.3618746476828267,0.7352644710597,160.76419999808422
5,0,15,"(287.5, 462.5, 17.977012825427398)",0.0314199789510964,857.3221435546875,-0.5679102477281459,0.0222186080912597,127.62870000005933
5,1,0,"(437.5, 412.5, 3.7158125367455015)",0.7180229310118176,737.1724243164062,-0.2927820735631412,2.023262372484878,122.77630000244244
5,1,3,"(387.5, 412.5, 5.968521653217249)",0.4583911928525432,742.0872802734375,-0.2451912467601162,1.1963838736064654,121.7205000029935
5,1,6,"(337.5, 412.5, 9.377700043801939)",0.142616655966394,766.0239868164062,-0.2724943076079762,0.1854782726007348,123.70809999993072
5,1,9,"(362.5, 437.5, 8.184609533832969)",0.4747786978476694,745.4041137695312,-0.2871211862308367,0.6257160485568267,125.47279999853345
5,1,12,"(312.5, 437.5, 13.134116007120344)",0.6516788251247393,763.703857421875,-0.4361250861253094,0.6808900874148458,121.79159999868716
5,1,15,"(262.5, 437.5, 19.691492564685472)",0.0034323667799688,856.8884887695312,-2.2978238646245277,0.0012756648562413,123.27550000190968
5,2,0,"(437.5, 412.5, 3.7158125367455015)",0.7123291131206069,737.3095092773438,-0.2927820735631412,2.0232623892549104,120.19130000044242
5,2,3,"(387.5, 412.5, 5.968521653217249)",0.4574798929564438,742.120361328125,-0.2451912467601162,1.1963838597459426,120.66129999948316
5,2,6,"(337.5, 412.5, 9.377700043801939)",0.1439449177465657,766.383056640625,-0.2724943076079763,0.1854782617628083,126.12860000081128
5,2,9,"(362.5, 437.5, 8.184609533832969)",0.471248939551297,745.2538452148438,-0.2871211862308367,0.6257161007842503,124.93820000236155
5,2,12,"(337.5, 462.5, 10.942007264844266)",0.7287906982720106,755.5086669921875,-0.3618746476828267,0.7352644273973689,156.9683999987319
